"","s.Historic","s.Restored","s.Salt_Pond","index","stat","p.value"
"385",1,0,0,1,0.496252630481509,0.0408
"386",0,0,1,3,0.786373472617494,3e-04
"387",0,0,1,3,0.476258510783587,0.0283
"388",1,0,0,1,0.698170414210956,1e-04
"389",1,0,0,1,0.619600271543451,1e-04
"390",1,1,0,4,0.636451476960179,0.0061
"391",1,0,0,1,0.640458198334117,7e-04
"392",0,0,1,3,0.672019558586259,0.001
"393",1,0,0,1,0.441105436411333,1e-04
"394",1,0,0,1,0.401664019205196,1e-04
"395",0,1,0,2,0.679257591875614,2e-04
"396",0,0,1,3,0.427863192103427,0.1057
"397",1,0,0,1,0.74241474912838,1e-04
"398",1,0,0,1,0.641139377850092,0.0031
"399",0,1,0,2,0.78828256472303,1e-04
"400",0,1,0,2,0.543096389443022,1e-04
"401",1,0,0,1,0.573566586702149,2e-04
"402",1,0,0,1,0.350771136794976,0.0205
"403",0,0,1,3,0.800796749008623,1e-04
"404",0,0,1,3,0.816510457286273,1e-04
"405",0,1,0,2,0.814850157765835,1e-04
"406",0,0,1,3,0.756784591591943,6e-04
"407",0,0,1,3,0.669893156262411,0.0012
"408",1,0,0,1,0.544834858692786,1e-04
"409",0,0,1,3,0.485725591292431,0.0095
"410",0,0,1,3,0.829882713066642,1e-04
"411",1,0,0,1,0.61857001155527,1e-04
"412",1,1,0,4,0.377836524575831,0.1844
"413",0,1,0,2,0.530159105342869,1e-04
"414",0,0,1,3,0.386053943492359,0.1887
"415",1,0,0,1,0.495719050199314,1e-04
"416",0,1,0,2,0.401531441404317,0.0602
"417",1,0,0,1,0.728695787093569,1e-04
"419",1,0,0,1,0.556189146150519,1e-04
"421",0,0,1,3,0.579712811385622,0.0125
"422",1,0,0,1,0.341923905551934,0.1902
"423",0,0,1,3,0.646209291610519,0.0059
"424",0,0,1,3,0.943996528095237,1e-04
"425",0,0,1,3,0.687738357834712,0.0018
"426",1,0,0,1,0.425152132535478,1e-04
"427",1,0,0,1,0.639825315532033,1e-04
"428",0,0,1,3,0.690907048421267,4e-04
"429",1,0,0,1,0.593804657872501,0.0049
"431",1,0,0,1,0.500245098030561,0.021
"432",1,0,0,1,0.597971834697338,1e-04
"433",0,1,0,2,0.425528035225228,0.0874
"434",1,0,0,1,0.752377184387525,1e-04
"435",0,0,1,3,0.293290895029186,0.4922
"436",0,0,1,3,0.753847246464009,4e-04
"437",1,0,0,1,0.447916626722257,1e-04
"438",0,1,0,2,0.511607976312586,0.0372
"439",0,0,1,3,0.843993438608497,1e-04
"440",1,0,0,1,0.663570217740835,1e-04
"441",0,1,0,2,0.909276330117499,1e-04
"442",1,0,0,1,0.753025690149098,1e-04
"443",0,1,0,2,0.476836325604879,0.0171
"444",0,0,1,3,0.303979970701462,0.4997
"445",0,1,0,2,0.926956104059506,1e-04
"446",0,1,0,2,0.764727097608498,2e-04
"447",0,1,1,6,0.355316400121361,0.2009
"448",0,1,0,2,0.655423258136906,1e-04
"449",0,0,1,3,0.564192397082207,0.0077
"450",0,0,1,3,0.369486232802355,0.1089
"451",0,0,1,3,0.619260825066314,0.0059
"452",1,0,0,1,0.395092511432503,0.0012
"453",1,0,0,1,0.770547137465621,2e-04
"455",0,0,1,3,0.73355338589981,8e-04
"456",1,0,0,1,0.717682255762904,1e-04
"457",0,1,0,2,0.725380907646586,1e-04
"458",0,0,1,3,0.465679384044991,0.0356
"459",0,0,1,3,0.614963440941368,0.0044
"460",1,0,0,1,0.660652743637695,1e-04
"461",0,0,1,3,0.318263127952034,0.288
"462",1,0,0,1,0.422237374923864,1e-04
"463",0,0,1,3,0.40274453237792,0.0691
"464",0,0,1,3,0.766366718033776,3e-04
"465",1,0,0,1,0.454368570908455,1e-04
"466",0,0,1,3,0.625662867466913,0.0047
"467",0,0,1,3,0.618457087089711,0.0099
"468",0,1,0,2,0.798179760626661,1e-04
"469",0,0,1,3,0.663386329735126,0.002
"470",0,0,1,3,0.554637043238663,0.0138
"471",0,0,1,3,0.519550434612508,0.0322
"472",1,0,0,1,0.465876993607495,0.0689
"473",1,0,0,1,0.724952719996711,1e-04
"474",0,1,0,2,0.798867463648586,1e-04
"475",0,1,1,6,0.360459174476675,0.2404
"476",1,0,0,1,0.648460797389703,4e-04
"477",0,0,1,3,0.84712567887063,2e-04
"479",1,0,0,1,0.554557250168249,1e-04
"480",0,1,0,2,0.693377518819933,1e-04
"481",0,1,0,2,0.396011309095171,1e-04
"482",1,0,0,1,0.748409199338531,1e-04
"483",1,0,0,1,0.47109577735143,0.0322
"484",1,0,0,1,0.639168575381526,1e-04
"485",0,0,1,3,0.442348136140464,0.0216
"486",0,0,1,3,0.558098700656114,0.0069
"487",0,1,0,2,0.72077781481661,4e-04
"488",0,1,0,2,0.55722453031838,1e-04
"489",0,0,1,3,0.653457205082262,4e-04
"490",1,0,0,1,0.7861883374096,1e-04
"491",1,0,0,1,0.886801072008306,1e-04
"492",0,1,0,2,0.721592775878446,1e-04
"493",0,1,0,2,0.567319123664772,0.0122
"494",1,1,0,4,0.607635449392749,0.0066
"495",1,0,0,1,0.411257614934582,0.0025
"496",0,1,0,2,0.725416856510151,1e-04
"497",0,0,1,3,0.43111230666378,0.0548
"498",0,1,0,2,0.654285712899142,0.0023
"499",1,0,0,1,0.528157280338499,1e-04
"500",0,0,1,3,0.586949381859523,0.0047
"501",0,1,0,2,0.722482524267357,1e-04
"502",0,1,0,2,0.743117405470945,6e-04
"503",0,1,0,2,0.812426413263759,1e-04
"504",1,0,0,1,0.636945709457688,1e-04
"505",0,0,1,3,0.797747653955638,1e-04
"506",0,1,0,2,0.864764205737253,1e-04
"507",0,1,1,6,0.409456749025339,0.1022
"508",1,0,0,1,0.345002344749019,0.0068
"509",1,0,0,1,0.349745547141246,0.0034
"510",0,1,0,2,0.36839885786412,0.0156
"511",0,1,0,2,0.838149538471889,1e-04
"512",0,0,1,3,0.597615224958753,0.0066
"513",0,0,1,3,0.882269759782849,1e-04
"514",0,1,0,2,0.717931883810897,2e-04
"515",0,0,1,3,0.696433338110944,0.0018
"516",1,0,0,1,0.717771492463933,1e-04
"517",1,0,0,1,0.442489032269999,1e-04
"518",0,1,0,2,0.649204423197342,5e-04
"519",1,1,0,4,0.358017941986368,0.1701
"520",0,1,0,2,0.448699057552999,3e-04
"521",1,0,0,1,0.759920710386498,1e-04
"522",0,0,1,3,0.680401219380238,4e-04
"523",0,0,1,3,0.815580517433073,1e-04
"524",0,0,1,3,0.690646964372884,7e-04
"525",0,1,0,2,0.777171231810328,1e-04
"526",0,1,0,2,0.614149410610139,0.0151
"527",1,0,0,1,0.302301178839684,0.4245
"528",1,0,0,1,0.344256435362243,1e-04
"529",0,1,0,2,0.574213835509499,0.0037
"530",0,1,0,2,0.501973913998215,0.0379
