#OTU_ID	R1_A_D1	R1_A_D2	R1_B_D1	R1_B_D2	R1_C_D1	R1_C_D2	R2A_A_D1	R2A_A_D2	R2A_B_D1	R2A_B_D2	R2A_C_D1	R2A_C_D2	R2_A_D1	R2_A_D2	R2_B_D1	R2_B_D2	R2_C_D1	R2_C_D2	SF2_A_D1	SF2_A_D2	SF2_B_D1	SF2_B_D2	SF2_C_D1	SF2_C_D2	Consensus lineage	Kingdom	Phylum	Class	Order	Family	Genus
2474	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	48	5	10	9	148	2	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Desulfobacteraceae;g__DesulfobacteraceaeFA	Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Desulfobacteraceae	DesulfobacteraceaeFA
2475	0	0	0	0	0	0	1	0	0	18	18	135	0	0	0	0	0	0	0	4	12	10	7	19	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__BacteroidalesOR;g__BacteroidalesOR	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	BacteroidalesOR	BacteroidalesOR
2477	0	0	0	0	0	1	34	140	31	3	11	2	0	0	0	0	0	0	0	0	2	0	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__GammaproteobacteriaCL;f__GammaproteobacteriaCL;g__GammaproteobacteriaCL	Bacteria	Proteobacteria	Gammaproteobacteria	GammaproteobacteriaCL	GammaproteobacteriaCL	GammaproteobacteriaCL
2478	0	0	0	0	0	0	1	0	2	1	1	0	0	0	0	0	0	0	58	55	15	8	68	15	k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__PhycisphaeraeCL;f__PhycisphaeraeCL;g__PhycisphaeraeCL	Bacteria	Planctomycetes	Phycisphaerae	PhycisphaeraeCL	PhycisphaeraeCL	PhycisphaeraeCL
2479	0	0	0	0	0	0	15	2	24	27	5	0	0	0	0	0	0	0	65	37	2	2	43	2	k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales;f__Saprospiraceae;g__SaprospiraceaeFA	Bacteria	Bacteroidetes	Sphingobacteria	Sphingobacteriales	Saprospiraceae	SaprospiraceaeFA
2480	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	54	63	21	14	58	13	k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__AnaerolineaeCL;f__AnaerolineaeCL;g__AnaerolineaeCL	Bacteria	Chloroflexi	Anaerolineae	AnaerolineaeCL	AnaerolineaeCL	AnaerolineaeCL
2481	0	0	0	0	0	0	27	66	64	15	8	0	0	0	0	0	0	0	12	9	7	2	13	1	k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__GemmatimonadetesCL;f__GemmatimonadetesCL;g__GemmatimonadetesCL	Bacteria	Gemmatimonadetes	Gemmatimonadetes	GemmatimonadetesCL	GemmatimonadetesCL	GemmatimonadetesCL
2483	0	0	0	0	0	0	0	0	0	6	0	3	0	0	0	0	0	0	32	16	32	45	81	8	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Desulfobacteraceae;g__DesulfobacteraceaeFA	Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Desulfobacteraceae	DesulfobacteraceaeFA
2484	5	7	11	22	3	1	0	0	0	0	0	0	35	21	3	4	9	102	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Halanaerobiales;f__Halanaerobiaceae;g__HalanaerobiaceaeFA	Bacteria	Firmicutes	Clostridia	Halanaerobiales	Halanaerobiaceae	HalanaerobiaceaeFA
2485	0	0	11	11	0	6	8	24	8	11	22	31	8	10	3	16	1	26	1	5	3	2	3	7	k__Bacteria;p__Planctomycetes;c__Planctomycea;o__Planctomycetales;f__Planctomycetaceae;g__Planctomyces	Bacteria	Planctomycetes	Planctomycea	Planctomycetales	Planctomycetaceae	Planctomyces
2486	0	0	0	0	0	0	24	39	144	1	9	0	0	0	0	0	0	0	3	0	1	0	1	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__RhodospirillaceaeFA	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	RhodospirillaceaeFA
