#OTU_ID	R1_A_D1	R1_A_D2	R1_B_D1	R1_B_D2	R1_C_D1	R1_C_D2	R2A_A_D1	R2A_A_D2	R2A_B_D1	R2A_B_D2	R2A_C_D1	R2A_C_D2	R2_A_D1	R2_A_D2	R2_B_D1	R2_B_D2	R2_C_D1	R2_C_D2	SF2_A_D1	SF2_A_D2	SF2_B_D1	SF2_B_D2	SF2_C_D1	SF2_C_D2
3648	0	0	0	0	0	0	2	66	33	0	24	2	0	0	0	0	0	0	1	0	0	0	1	0
3649	1	2	0	1	0	1	0	0	0	0	0	0	2	1	11	5	62	4	3	2	5	7	16	3
3650	0	0	0	0	0	0	2	0	1	4	0	0	0	0	0	0	0	0	18	27	16	17	39	4
3651	2	1	1	1	7	1	0	1	1	77	4	19	2	4	0	3	3	0	0	0	1	0	0	0
3652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	23	23	17	31	1
3653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	4	17	24	47	7
3654	0	0	0	0	0	0	2	16	5	2	100	3	0	0	0	0	0	0	0	0	0	0	0	0
3655	0	0	0	0	0	0	0	0	2	50	7	68	0	0	0	0	0	0	0	0	0	0	0	1
3656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	3	33	23	45	8
3657	0	0	0	0	0	0	1	5	4	8	24	83	1	1	0	0	0	0	0	0	0	0	0	0
3658	3	4	18	14	1	5	0	0	1	0	0	0	7	7	17	8	26	2	0	0	0	0	0	0
3659	3	0	2	2	4	7	0	0	0	0	0	0	2	38	3	7	2	1	0	0	15	15	1	11
3662	0	0	0	0	0	0	0	0	2	30	17	79	0	0	0	0	0	0	0	0	0	0	0	0
3663	0	0	0	0	0	0	4	0	3	106	0	11	0	0	0	0	0	0	0	2	0	1	1	0
3664	0	0	0	0	0	0	0	0	0	0	0	0	6	86	17	6	1	11	0	0	0	0	0	0
3665	0	0	0	0	0	0	10	2	6	2	0	0	0	0	0	0	0	0	13	35	16	13	22	9
3666	21	20	13	16	9	10	0	0	0	0	0	0	2	4	6	8	14	2	0	0	0	0	0	0
3667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	23	15	11	39	9
3668	0	0	0	0	0	0	0	22	0	21	10	72	0	0	0	0	0	0	0	0	0	0	2	0
3669	0	0	0	0	0	1	10	0	4	4	2	0	0	1	0	0	0	0	17	24	7	11	43	2
3670	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	79	3	2	3	33	2
3671	0	0	1	1	0	1	23	20	53	6	9	0	0	1	1	2	1	0	0	3	0	1	3	0
3672	0	0	0	0	0	0	5	0	8	0	0	0	0	0	0	0	0	0	40	7	12	9	45	1
3673	15	18	8	11	25	9	0	0	0	0	0	0	0	3	8	2	15	6	0	0	0	1	0	0
3674	0	0	0	0	0	2	0	0	1	0	0	0	12	7	39	1	59	6	0	0	0	0	0	0
3675	0	0	0	0	0	0	0	3	1	1	0	0	0	0	0	0	0	0	62	17	0	1	42	0
3677	2	0	0	1	3	3	0	0	0	0	0	0	27	42	2	13	2	30	0	0	1	0	0	0
3678	4	3	9	4	4	2	0	0	0	0	0	0	9	6	27	10	32	4	0	0	0	0	0	0
3679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	33	13	11	42	18
3680	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	31	21	9	13	45	5
3681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	16	36	37	20	6
3682	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	23	25	16	45	12
3683	1	0	8	0	3	9	0	0	0	0	0	0	3	17	20	6	51	7	0	0	0	1	0	1
3685	0	0	0	0	0	0	3	0	2	1	0	0	0	0	0	0	0	0	13	21	28	25	27	7
3686	0	0	0	0	0	0	42	41	19	2	22	0	0	0	0	0	0	0	0	0	0	1	0	0
3687	0	1	4	4	1	4	0	0	0	0	0	0	11	26	6	17	5	40	0	0	0	0	0	0
3688	0	0	2	0	4	0	4	4	15	6	7	22	0	5	6	0	7	4	2	4	1	0	7	3
3689	0	0	0	0	0	0	0	1	26	12	86	1	0	0	0	0	0	0	0	0	0	0	0	0
3690	27	6	4	17	10	6	0	0	0	0	0	0	6	16	10	10	1	11	0	0	0	0	0	0
3691	3	4	5	1	17	8	7	0	4	0	0	0	2	1	4	1	1	0	2	29	5	2	9	6
3693	29	28	11	7	17	14	0	0	0	0	0	1	0	1	9	0	6	0	0	0	0	2	1	0
3694	21	31	9	12	16	9	0	0	1	0	0	0	5	0	3	6	11	1	0	0	0	0	0	0
3695	16	7	14	4	5	5	0	0	0	0	0	0	0	17	4	6	2	1	0	0	16	8	3	4
3696	0	0	0	0	0	0	4	0	1	1	0	0	0	0	0	0	0	0	12	11	29	27	30	11
3697	0	0	0	0	0	0	54	31	13	0	24	4	0	0	0	0	0	0	0	0	0	0	0	0
