"","R2A_A_D1","R2A_A_D2","R2A_B_D1","R2A_B_D2","R2A_C_D1","R2A_C_D2","SF2_A_D1","SF2_A_D2","SF2_B_D1","SF2_B_D2","SF2_C_D1","SF2_C_D2","R1_A_D1","R1_A_D2","R1_B_D1","R1_B_D2","R1_C_D1","R1_C_D2","R2_A_D1","R2_A_D2","R2_B_D1","R2_B_D2","R2_C_D1","R2_C_D2"
"243",5582.25,7208.78,6458.16,844.28,1273.45,16.29,31.68,108.31,40.99,27.96,6.42,15.39,0,0,4.87,0,0,0,0,5.35,5.37,0,0,10.26
"245",0,0,10.67,11.57,0,0,0,34.2,102.48,106.25,38.54,292.49,171.9,71.67,2061.44,131.3,1848.25,5762.44,793.35,914.96,2657.8,3446.27,787.56,882.33
"246",0,0,0,0,5.66,0,0,0,35.87,11.18,3.21,0,2313.72,1978.04,1652.08,2078.87,2821.53,1101.04,1919.57,1417.92,987.95,1069.76,865.85,692.53
"247",8264.42,7356.36,4131.08,121.44,1024.42,21.72,0,0,0,0,0,0,4.65,0,4.87,0,4.92,0,0,0,0,0,0,0
"248",0,0,5.34,0,0,0,0,5.7,97.35,156.58,19.27,35.92,673.67,616.35,804.11,1405.97,889.71,1121.62,1714.3,2702.08,1234.94,2857.22,1289.57,2513.62
"249",11.18,5.68,5.34,0,0,0,0,0,0,0,3.21,0,441.37,415.68,209.56,568.95,388.33,627.69,343.97,13269.62,295.31,528.11,253.31,2252
"250",0,0,10.67,5.78,0,0,0,0,15.37,0,0,0,65.04,81.22,1223.22,284.48,255.61,1116.47,3739.27,1530.29,2786.67,4333.23,2031.07,1995.51
"251",0,0,10.67,0,11.32,0,0,5.7,0,0,0,0,2587.83,2623.05,1730.05,2182.81,1145.32,1239.95,1464.64,326.39,472.5,2667.64,1261.93,1082.4
"252",44.7,0,80.06,0,11.32,0,0,0,20.5,16.78,0,10.26,329.87,348.78,1544.86,1280.14,294.93,859.22,4172.01,856.1,2298.06,2186.92,2942.98,1636.42
"253",0,249.75,96.07,1572.91,2552.55,586.39,12.67,114.01,15.37,16.78,3.21,5316.15,0,0,0,0,0,0,0,0,0,0,0,0
