node_name	node_disp_name	ntype	degree	weighted_degree	consensus_lin	BarcodeSequence	LinkerPrimerSequence	Treatment	DOB
1262		otu_node	6	570.29284109		otu	otu	otu	otu
1263		otu_node	12	1994.9944594		otu	otu	otu	otu
1264		otu_node	13	454.136334906		otu	otu	otu	otu
1265		otu_node	13	522.77569873		otu	otu	otu	otu
1266		otu_node	11	552.067193658		otu	otu	otu	otu
1267		otu_node	22	523.18220136		otu	otu	otu	otu
1269		otu_node	16	680.525142828		otu	otu	otu	otu
127		otu_node	14	7923.8877829		otu	otu	otu	otu
1270		otu_node	9	205.682153479		otu	otu	otu	otu
1271		otu_node	12	538.9125991		otu	otu	otu	otu
1272		otu_node	19	807.415604165		otu	otu	otu	otu
1273		otu_node	11	944.669348159		otu	otu	otu	otu
1274		otu_node	9	873.186161822		otu	otu	otu	otu
1275		otu_node	11	335.098060485		otu	otu	otu	otu
1276		otu_node	11	1339.29029851		otu	otu	otu	otu
1277		otu_node	21	459.531241196		otu	otu	otu	otu
1278		otu_node	13	381.097726431		otu	otu	otu	otu
1279		otu_node	13	295.216484252		otu	otu	otu	otu
128		otu_node	11	3202.38989635		otu	otu	otu	otu
1280		otu_node	7	1156.49426996		otu	otu	otu	otu
1281		otu_node	9	526.763939749		otu	otu	otu	otu
1282		otu_node	12	928.747101031		otu	otu	otu	otu
1283		otu_node	13	412.007880118		otu	otu	otu	otu
1284		otu_node	11	299.695282042		otu	otu	otu	otu
1285		otu_node	16	979.663041786		otu	otu	otu	otu
1286		otu_node	7	774.572384722		otu	otu	otu	otu
1287		otu_node	7	840.07635206		otu	otu	otu	otu
1288		otu_node	9	717.769658193		otu	otu	otu	otu
1289		otu_node	11	556.418348826		otu	otu	otu	otu
129		otu_node	22	988.360775073		otu	otu	otu	otu
1290		otu_node	23	384.876544134		otu	otu	otu	otu
1291		otu_node	18	308.054450984		otu	otu	otu	otu
1292		otu_node	11	301.127197236		otu	otu	otu	otu
1293		otu_node	6	1393.18846763		otu	otu	otu	otu
1294		otu_node	17	327.630978741		otu	otu	otu	otu
