	sequences per sample	iteration	R1_A_D1	R1_A_D2	R1_B_D1	R1_B_D2	R1_C_D1	R1_C_D2	R2A_A_D1	R2A_A_D2	R2A_B_D1	R2A_B_D2	R2A_C_D1	R2A_C_D2	R2_A_D1	R2_A_D2	R2_B_D1	R2_B_D2	R2_C_D1	R2_C_D2	SF2_A_D1	SF2_A_D2	SF2_B_D1	SF2_B_D2	SF2_C_D1	SF2_C_D2
alpha_rarefaction_80226_9.txt	80226	9	2122.10714286	2168.75531915	2812.52	2702.55319149	2589.99118943	2965.72014925	5023.8757764	5924.63134978	6870.37751004	6699.7856094	6351.78438031	3861.69920844	2925.29467085	4775.82713755	3888.87601078	3697.63013699	2909.78676471	3157.14206128	6996.30404624	7657.71261378	8559.10792952	8268.75027382	9537.9536608	7318.43797468
alpha_rarefaction_100280_0.txt	100280	0	2404.55940594	2233.84722222	3061.58270677	2779.0944206	2920.4	3207.10344828	5205.92130518	6198.46875	6893.05467801	6756.47787611	6417.65083799	4209.85714286	3151.35207101	5103.06620209	4012.50881612	3754.35660848	3174.06338028	3487.002849	7593.85340909	7825.10099889	8920.69979508	8830.22277228	9801.05093379	7588.85925085
alpha_rarefaction_100280_1.txt	100280	1	2355.58962264	2328.86206897	2898.53040541	2690.48251748	2701.40466926	3036.88819876	5187.32934132	6227.1031746	7194.03775883	6805.22679045	6720.8676259	4196.83783784	3165.25	5042.22018349	3946.8606357	3918.92550143	3136.03345725	3561.20461095	7706.0613155	7956.51639344	9177.49470339	8672.91129032	9666.30481728	7885.64410735
alpha_rarefaction_100280_2.txt	100280	2	2309.38235294	2342.28078818	2943.05226481	2711.62181818	2629.52325581	3184.07692308	5267.99015748	6392.36363636	7255.55006676	6918.78731836	6587.16047548	4249.90837696	3245.75737705	5039.60575296	4153.66949153	3994.79597701	3319.89473684	3478.65616046	7507.4805492	7950.32055749	8934.21520343	8818.20977597	10098.1929825	7866.73539519
alpha_rarefaction_100280_3.txt	100280	3	2276.04587156	2290.46976744	2978.6405694	2661.93584906	2632.28793774	3331.03952569	5149.57089552	6342.21045392	7384.22857143	6895.53145058	6248.807327	4251.61845387	3182.62613982	5206.52247191	4128.69346734	3911.85632184	3074.1316726	3643.53703704	7616.26280624	7741.52743561	8827.54265159	8731.07894737	9732.30393836	7931.5765878
alpha_rarefaction_100280_4.txt	100280	4	2200.37614679	2523.78061224	2947.72013652	2861.33744856	2775.45454545	3139.76618705	5169.64504505	6321.04931507	7173.67519182	6856.43734015	6516.26038781	4180.18564356	3173.39263804	5175.75614367	3916.66666667	4011.28318584	3109.7400722	3448.98891967	7600.72179628	8020.60759494	8701.0807771	8763.60212766	9889.12531969	7811.2599319
alpha_rarefaction_100280_5.txt	100280	5	2195.55924171	2285.08133971	2956.80769231	2665.0	2807.16071429	3174.20350877	5031.65200765	6267.71895425	7375.97005208	6949.39215686	6404.56463596	4227.45012788	3320.8375	5317.12741313	4084.376	3803.02762431	3201.63508772	3472.95833333	7665.60606061	7938.13888889	8587.61939616	8954.5931677	9820.8680203	7777.44613583
alpha_rarefaction_100280_6.txt	100280	6	2301.89497717	2339.625	2985.78623188	2710.7195572	2857.05045872	3146.32055749	5208.09274194	6257.44325768	7384.55541069	6950.76769025	6382.66806723	4218.5026455	3137.75	5159.33208255	4038.4351145	3840.6	3080.87636364	3373.5848564	7532.86226204	8055.02234637	8913.38916256	8783.546875	9816.89381933	7840.49633252
alpha_rarefaction_100280_7.txt	100280	7	2270.16113744	2328.41538462	2990.54275093	3011.87603306	2777.52564103	3206.07636364	5217.59537572	6360.37068966	7200.98507463	6923.16884817	6647.12035661	4187.34231806	3276.2	5267.16015625	4021.4025974	3923.49030471	2954.46885246	3653.01869159	7808.46031746	7937.94201183	9095.05111821	8610.8617332	10021.4798658	7575.6093929
alpha_rarefaction_100280_8.txt	100280	8	2228.33766234	2245.65625	3039.51086957	2808.93548387	2734.61065574	3299.65467626	5090.4317757	6286.12691771	7398.03751617	6736.53401797	6487.37354651	3979.38862559	3119.25471698	5119.7247191	3976.65770171	3744.54494382	3086.87455197	3521.74386921	7473.2297593	8020.79390244	8949.52765957	8876.06666667	9886.68502024	7960.80487805
alpha_rarefaction_100280_9.txt	100280	9	2362.52427184	2477.14835165	2947.92134831	2767.78125	2735.95378151	3219.89679715	5044.67231638	6271.08897742	7408.53617571	6914.27984085	6451.80599144	3980.88508557	3131.94409938	5064.54727273	3978.12903226	3788.01030928	3105.34296029	3526.12605042	7392.92481203	7966.25142857	8885.41082164	8587.6035503	10215.5485009	7585.45454545
alpha_rarefaction_120334_0.txt	120334	0	2592.53061224	2425.52941176	3138.91872792	2928.28888889	2909.46052632	3446.41666667	5458.70342205	6557.01371742	7499.67961165	7005.49688667	6769.36178862	4481.5461165	3384.65578635	5414.66842105	4354.65648855	3872.76978417	3132.83934426	3812.97413793	7768.01614639	8319.88784067	9299.61838162	9068.68666667	10508.582716	8035.14253898
alpha_rarefaction_120334_1.txt	120334	1	2364.14912281	2450.92857143	3062.38926174	3054.13385827	2823.87704918	3457.09252669	5359.14311594	6588.35236769	7665.27560051	7478.6	6623.86381842	4722.26683292	3471.95899054	5454.44821429	4131.6641791	3882.67813268	3221.56730769	3804.90277778	7960.80602007	8414.33406114	9069.06765524	9201.19178082	10151.0340633	7914.44029851
alpha_rarefaction_120334_2.txt	120334	2	2437.11363636	2426.76419214	3152.77289377	2826.5	2999.90625	3221.94409938	5204.84210526	6483.24265645	7541.84931507	7152.20049505	6772.61559889	4527.35766423	3488.8115016	5372.00180832	4184.62315271	3870.23152709	3257.5755627	3712.50991501	7976.36615044	8405.53862894	9262.21067684	9084.82011605	10424.1160714	8138.19536424
alpha_rarefaction_120334_3.txt	120334	3	2381.25454545	2453.52336449	3120.67676768	3074.87732342	2785.91385768	3317.25324675	5327.31818182	6610.16371078	7572.71087216	7315.40931373	6848.91130186	4671.69543147	3488.46226415	5300.42608696	4385.12694301	4022.97979798	3522.23655914	3948.11747851	7928.66666667	8398.39344262	9254.11111111	9279.26377953	10105.1982759	8116.59541985
alpha_rarefaction_120334_4.txt	120334	4	2479.27317073	2463.08733624	3207.28852459	2875.19047619	2793.78210117	3240.96141479	5394.52737226	6406.76348548	7319.15578465	7399.18918919	6902.41292135	4479.96341463	3295.53680982	5205.64888124	4217.01438849	4188.85175202	3264.87628866	3721.76439791	7802.4931071	8337.11970339	9331.85714286	8987.26373626	10252.8022508	8249.68865741
alpha_rarefaction_120334_5.txt	120334	5	2409.38325991	2475.4380531	3152.82508251	2797.46996466	2930.73417722	3352.46428571	5323.0	6560.45518207	7477.28767123	7273.64356436	6768.17185386	4479.42028986	3450.47368421	5177.96173913	4220.44987775	4015.45477387	3207.25471698	3745.48305085	7909.49507119	8467.3125	9319.35459662	9293.04069767	10142.1664025	8065.09638554
alpha_rarefaction_120334_6.txt	120334	6	2278.08119658	2421.88127854	3100.38032787	2998.20703125	2867.83196721	3493.98175182	5607.82727273	6519.40473062	7632.39104116	7252.81840796	6663.92577031	4465.6618705	3213.01907357	5204.49342105	4147.125	3983.98734177	3257.40694006	3617.65473146	7935.14745011	8399.28145695	9197.39345794	8987.85835694	10190.8959016	8194.98065984
alpha_rarefaction_120334_7.txt	120334	7	2466.58108108	2369.39830508	3152.5	2845.29109589	2891.5498008	3465.8986014	5534.96851852	6541.62082777	7474.03730445	7247.3125	6702.68016194	4456.8801956	3383.759375	5408.17765568	4251.4691358	3880.98780488	3274.14946619	3717.24369748	8002.54727475	8253.69381107	9345.21582031	8971.11692015	10297.5581967	8193.85294118
alpha_rarefaction_120334_8.txt	120334	8	2442.71875	2378.37668161	3159.75	2882.87769784	2997.17105263	3280.08626198	5389.03243243	6320.84203822	7521.73357664	7201.11083744	6805.56302521	4346.51508121	3280.61403509	5439.05	4201.13163972	4006.85078534	3370.82291667	3544.40101523	7763.86772487	8422.6875	9440.99421408	9036.75433526	10307.121911	8099.76579521
alpha_rarefaction_120334_9.txt	120334	9	2265.34693878	2474.05140187	3166.25342466	2909.41791045	2844.26720648	3380.19366197	5370.41621622	6525.88289474	7416.10128056	7102.70487805	6757.91044776	4484.69733656	3579.91666667	5349.36111111	4132.26388889	4153.29365079	3271.3125	3566.99473684	7965.61521499	8444.14709111	9215.31370656	9201.46979866	10228.452381	7987.75968109
alpha_rarefaction_140388_0.txt	140388	0	2508.90789474	2576.75117371	3233.32621951	3245.68292683	2956.53090909	3454.06521739	5494.91071429	6596.10754017	7769.63033708	7458.36374408	7031.45695364	4500.40659341	3522.7020649	5693.30645161	4357.57380952	4208.49	3385.01712329	3883.61256545	8090.342827	8604.40963855	9474.39964476	9490.77767176	10627.609375	8268.486
alpha_rarefaction_140388_1.txt	140388	1	2424.16666667	2577.46835443	3108.45882353	3140.89705882	2986.11522634	3641.9137931	5638.31150442	6625.4162234	7827.27017544	7417.30741627	6948.28364116	4601.32964602	3659.8	5672.36988848	4476.0	4141.9375	3479.45804196	3867.11081794	8139.12917115	8682.77673936	9691.21751412	9210.01853486	10542.150079	8333.50875386
alpha_rarefaction_140388_2.txt	140388	2	2402.97297297	2702.63849765	3206.20689655	3077.38376384	3120.91701245	3472.12618297	5740.03811252	6694.76015228	7898.34495192	7500.55421687	7056.19518717	4758.21513002	3466.06685237	5620.55958549	4421.90023753	4169.4	3413.25913621	3893.2	8273.34527687	8634.16158537	9509.61049724	9237.24705882	10463.0430697	8457.84039088
